from_planet,to_planet
Agon,Minntooine
Aguarl,Ragith
Aguarl,Vernet
Aguarl,Gacerian
Ahakista,Dubrillion
Ahakista,Bnar
Ahakista,Equanus
Ahch-To,Zonama Sekot
Ahch-To,Rakata Prime
Ahch-To,Zakuul
Ahch-To,Zorbia
Aikhibba,Lorahns
Aikhibba,Beris
Aikhibba,Charra
Aikhibba,Hoylin
Ailon,Atapap I
Ailon,Quellor
Ailon,Antar
Akrit'tar,Norval
Akrit'tar,Gestrex
Akrit'tar,Kegan
Akrit'tar,Drualkiin
Akuria,Nam'ta
Akuria,Hethar
Akuria,Gandolo
Akuria,Botajef
Alakatha,Daemen
Alakatha,Vogel
Alakatha,Opiteihr
Alakatha,Lanthe
Alashan,Poln System
Alashan,Aeten
Alashan,Comra
Alashan,Nessem
Alassa Major,Karlinus
Alassa Major,Sedesia
Alassa Major,Kalinda
Alassa Major,Naboo
Alba-16,Botajef
Alba-16,Phindar
Alderaan,Korfo
Alderaan,Caamas
Alderaan,Tyed Kant
Aldraig,Xorth
Aldraig,Palawa
Aldraig,Demophon
Aldraig,Skako
Alee,Xoman
Alee,Boz Pity
Alee,Tal Nami
Aleen,Quarzite
Aleen,Atzerri
Aleen,Hillindor
Algara,Falleen
Algara,Andosha
Algara,Kabray
Algarian,Talay
Algarian,Blenjeel
Algarian,Womrik
Algarian,Thape
Algnadesh,Wodan
Algnadesh,Divora
Algnadesh,Relephon
Algnadesh,Andalia
Algor,Caluula
Algor,Brigia
Algor,Eibon
Algor,Rudrig
Alland,Worru'du
Alland,Osadia
Alland,Galand
Alland,Metellos
Alland,Cal-Seti
Allanteen,Iktotchon
Allanteen,Tarmidia
Allanteen,Tlactehon
Allanteen,Gamor
Allanteen,Tynna
Allyuen,Tokmia
Allyuen,Burnin Konn
Allyuen,Isis
Allyuen,Ione
Almania,Nathema
Almania,Ranroon
Almania,Malachor
Almania,Syngia
Alpheridies,Venaari
Alpheridies,Jendorn
Alpheridies,Thisspias
Alpheridies,Gravan Seven
Alsakan,Thokos
Alsakan,Utrost
Alsakan,Coruscant
Alsakan,Grizmallt
Althir III,Maridun
Althir III,Xochtl
Althir III,Povanaria
Altier,Tarmidia
Altier,Surron
Altier,Bovo Yagen
Altier,Tlactehon
Altor,Shola
Altor,Daluuj
Altor,Dubrava
Altratonne,OHS3842-03
Altratonne,Wyndigal
Altratonne,Handooine
Altratonne,Sy Myrth
Alui,Sanbra
Alui,Enarc
Alui,Naboo
Alzoc,Karazak
Alzoc,Skynara
Alzoc,Pantora
Alzoc,Bahalian
Amarin,Voss
Amarin,Cadinth
Amarin,Desevro
Ambria,Taboon
Ambria,Ithull
Ambria,Merson
Ammuud,Biewa
Ammuud,Urdur
Ammuud,Oslumpex
Ammuud,Makem Te
Amthau,Sika
Amthau,Milagro
Anantapar,Ison
Anantapar,Mataou
Anantapar,Shuxl
Anaxes,Chandrila
Anaxes,Grizmallt
Anaxes,Corulag
Andalasa,Reuss
Andalasa,Bajic
Andalasa,Bahalian
Andalia,Daruvvia
Andalia,Telkur Station
Andalia,Sennex
Andara,Sestria
Andara,Sanjin
Andara,Bryexx
Andelm IV,Svivren
Andelm IV,Silken
Andelm IV,Meryx Minor
Andelm IV,Denab
Ando,Mon Gazza
Ando,Andosha
Ando,Thape
Andooweel,Geonosis
Andooweel,Kemal Station
Andooweel,Tatooine
Andosha,Argus
Andosha,Algara
Andosha,Mon Gazza
Anemcoro,Kalki Nebula
Anemcoro,Ord Biniir
Anemcoro,Moltok
Anemcoro,Draria
Angor,Gabredor
Angor,Kwevron
Angor,Dantooine
Angor,Draria
Angratha,Crovna
Angratha,Hestria
Angratha,Asmeru Anomaly
Angratha,Ossel
Ank Kit'aar,Brevost
Ank Kit'aar,Sedesia
Ank Kit'aar,Kalinda
Ankus,Burska
Ankus,Sinton
Ankus,The Red Twins
Ankus,Dankayo
Annaj,Kuna's Eye
Annaj,Abbaji
Annaj,Ovise
Annaj,Kuna's Tooth
Anoat,Zhanox
Anoat,Hoth
Anoat,Bespin
Anobis,Balnab
Anobis,Jarnollen
Anobis,Ord Mantell
Anobis,Nessem
Anorelga,Qonto
Anorelga,Bastion
Anorelga,Rimcee Station
Anoth,Kinooine
Anoth,Needan
Anoth,Cantros
Anoth,Rutan
Ansion,Gilatter
Ansion,Rustibar
Ansion,Namadii
Anstares,Ossiathora
Anstares,Zaria
Anstares,Deminol
Anstares,Q'mara
Antar,Ailon
Antar,Truuine
Antar,Gyndine
Anteevy,Garos
Anteevy,Kromus
Anteevy,Bseto
Anteevy,Phindar
Antemeridias,Centares
Antemeridias,Cybloc
Antemeridias,Budpock
Antipose,Paulking
Antipose,Falko
Antipose,Trammis
Antipose,Drualkiin
Antiquity,Jalarren
Antiquity,Tekurr'k
Antiquity,Shoon
Antiquity,Ossel
Anturus,Atron
Anturus,Karfeddion
Anturus,Voorsbain
Anturus,Ossel
Anx Minor,Kesmere
Anx Minor,Kesmere Minor
Anx Minor,Sinsang
Anx Minor,Corsin
Anzat,Ingo
Anzat,Wobani
Anzat,New Holstice
Anzat,Sy Myrth
Aphran,Meastrinnar
Aphran,Voltare
Aphran,Neshtab
Aphran,Dankayo
Aphran,Bengat
Aquaris,Geris
Aquaris,Surcasis
Aquaris,Thustra
Aquaris,Obroa-skai
Aquella,Nantama
Aquella,Rulaar
Aquella,Caltinia
Aquella,Ossel
Aquilae,Koensayr
Aquilae,Byblos
Aquilae,Pencael
Aquilae,Denon
Arabanth,Ut
Arabanth,Carlania
Arabanth,Hapes
Arabanth,Orelon
Aradia,Tamban
Aradia,Galantos
Aradia,Cal-Seti
Aradia,Metellos
Arami,Unagin
Arami,Gamorr
Arami,Syvris
Arat Fraca,Loronar
Arat Fraca,Pencael
Arat Fraca,Byblos
Arbra,Crait
Arbra,Verdanth
Arbra,Sanbra
Arbra,Alui
Arcan,Galidraan
Arcan,Chandaar
Arcan,Lianna
Archais,Lalmy'ash
Archais,Selab
Archais,Harterra
Archais,Orelon
Arda,Kalishik
Arda,Little Capella
Arda,Capella
Argai,Jaminere
Argai,Nuswatta
Argai,Corlass
Argai,Rudrig
Argai Minor,Dakshee
Argai Minor,Carida
Argai Minor,Belnar
Argai Minor,Shulstine
Argazda,Jerne
Argazda,Kol Huro
Argazda,Ereesus
Argazda,Sorrus
Argovia,Manda
Argovia,Hishyim
Argovia,Dennaskar
Argus,Zolan
Argus,Mon Gazza
Argus,Andosha
Aridus,Gamor
Aridus,Iktotchon
Aridus,Charra
Aridus,Merren
Aris,Mygeeto
Aris,Morishim
Aris,Haverling
Aris,Draria
Arkam,Xeron
Arkam,Borao
Arkam,Roundtree
Arkam,Mechis III
Arkania,Kluistar
Arkania,Omonoth
Arkania,Kiribi
Arkania,Ifmix
Arkanis,Huldamun
Arkanis,Tythe
Arkanis,Issor
Arkanis,Christophsis
Arkanis,Sirpar
Arkuda,Bronsoon
Arkuda,Gulvitch
Arkuda,Vallusk Cluster
Arkuda,Korphir
Arleen,Rafa
Arleen,Erilnar
Arleen,Dela
Arleen,Sriluur
Arporatal-Lanin,Thull's Vault
Arporatal-Lanin,K'ath
Arporatal-Lanin,Umthyg
Arporatal-Lanin,Q'mara
Arrgaw,M'haeli
Arrgaw,Ropagi
Arrgaw,Jurzan
Arrgaw,Lazerian
Arrgaw,Ramordia
Arrgaw,Pax
Artesia,Ulda Frav
Artesia,Erai
Artesia,Dica
Artesia,Nanth'ri
Aruza,Lequabis
Aruza,Poviduze
Aruza,K'taktaxka
Aruza,Chalcedon
Ashas Ree,Begeren
Ashas Ree,Kalsunor
Ashas Ree,Bosthirda
Askaj,Karideph
Askaj,Adarlon
Askaj,Skor
Askaj,Tosste
Asmeru,Neelanon
Asmeru,Asmeru Anomaly
Asmeru,Crovna
Asmeru,Ossel
Asmeru Anomaly,Crovna
Asmeru Anomaly,Neelanon
Asmeru Anomaly,Asmeru
Asmeru Anomaly,Ossel
Asrat,Filordis
Asrat,Carest
Asrat,Obroa-skai
Ast Kikorie,UR-3741
Ast Kikorie,Endor Gate
Ast Kikorie,Endor
Astion,Trassitan
Astion,Plesstil
Astion,Gree
Astion,Celanon
Atapap I,Quellor
Atapap I,Ailon
Atapap I,Aquilae
Atchorb,Tothis
Atchorb,D'ian
Atchorb,Bonadan
Atchorb,Makem Te
Athiss,Korriz
Athiss,Ziost
Athiss,Ch'hodos
Athiss,Nicht Ka
Atollon,Dornea
Atollon,Lothal
Atollon,Kamdon
Atollon,Pammant
Aton,Dremulae
Aton,Leria Kerlsil
Aton,Vuma
Atorra,Chenowei
Atorra,Troos
Atorra,Elamposnia
Atorra,B'trilla
Atravis,Dorlo
Atravis,Kelrodo-Ai
Atravis,Shumavar
Atravis,Tosste
Atron,Karfeddion
Atron,Jalarren
Atron,Port Evokk
Atron,Ossel
Attahox,T'surr
Attahox,Emberlene
Attahox,Mordagon
Attahox,Nanth'ri
Atzerri,Affa
Atzerri,Quarzite
Atzerri,Aleen
Austan,Goroth
Austan,Utaruun
Austan,Pii
Avenelle,Valgauth
Avenelle,Nazzri
Avenelle,Uyter
Averam,Clak'dor
Averam,Eriadu
Averam,Dorvalla
Averam,Shumavar
Avidich,Shihon
Avidich,Ool
Avidich,Csilla
Axbrian,Shulxi
Axbrian,Lujo
Axbrian,Balosar
Axbrian,Belazura
Axxila,Vinsoth
Axxila,Nez Peron
Axxila,Ord Cestus
Axxila,Celanon
Aylayl,Hollastin
Aylayl,Xolu
Aylayl,Tsyk
Aylayl,Unagin
Aztubek,Javin
Aztubek,Mugaar
Aztubek,Kumru
Azure,Dulathia
Azure,Velmor
Azure,Rearqu Cluster
Azzameen Station,Cmaoli Di
Azzameen Station,Omwat
Azzameen Station,Syned
B'trilla,Feena
B'trilla,Chenowei
B'trilla,Elamposnia
B-Foroon,Piroket
B-Foroon,C-Foroon
B-Foroon,A-Foroon
Babbadod,Itani
Babbadod,Chardaan
Babbadod,Shibric
Bacrana,Ryvellia
Bacrana,Thaere
Bacrana,Milagro
Bahalian,Reuss
Bahalian,Andalasa
Bahalian,Vergesso
Bajic,Andalasa
Bajic,Vergesso
Bajic,Bahalian
Bakura,Timora
Bakura,Bunduki
Bakura,Panatha
Bakura,Sanyassa
Balamak,Kwookrrr
Balamak,Sneeve
Balamak,Charros
Baldavia,Gallinore
Baldavia,Theselon
Baldavia,Novi
Baldavia,Orelon
Balis-Baurgh,Barcaria
Balis-Baurgh,Ichtor
Balis-Baurgh,Bomis Koori
Balmorra,Neimoidia
Balmorra,Kuat
Balmorra,Raxxa
Balnab,Patitite Pattuna
Balnab,Anobis
Balnab,Jarnollen
Balnab,Per Lupelo
Balosar,Shulxi
Balosar,Lujo
Balosar,Gama
Balosar,Gandeal
Baltizaar,Fornax
Baltizaar,Nentan
Baltizaar,Dohu
Baltizaar,Per Lupelo
Ban-Satir,Joodrudda
Ban-Satir,Gaurick
Ban-Satir,Issagra
Ban-Satir,Makem Te
Bandomeer,Vanqor
Bandomeer,Halmad
Bandomeer,Harloen
Bandomeer,Botajef
Bandomeer,Taris
Bannistar Station,Ank Kit'aar
Bannistar Station,Indobok
Bannistar Station,Triffis
Barab,Dilbana
Barab,Clantaano
Barab,Dubrava
Baraboo,Rendili
Baraboo,Loretto
Baraboo,Bellassa
Baradas,Ord Antalaha
Baradas,Barlok
Baradas,Dankayo
Barcaria,Ichtor
Barcaria,Balis-Baurgh
Barcaria,Bomis Koori
Bardotta,Phu
Bardotta,Trunska
Bardotta,Candoria
Bardotta,Bestine
Barenth,Nentan
Barenth,Muzara
Barenth,Vortex
Barenth,Dankayo
Barison,Kalishik
Barison,Usta
Barison,Feena
Barkhesh,Manpha
Barkhesh,Sil'Lume
Barkhesh,Berrol's Donn
Barkhesh,Rutan
Barlok,Champala
Barlok,Milvayne
Barlok,Nierport
Baroli,Vernet
Baroli,Shibric
Baroli,Gacerian
Baros,Dornea
Baros,Atollon
Baros,Lothal
Baros,Pammant
Barseg,Lianna
Barseg,Arcan
Barseg,Desevro
Basilisk,Vultar
Basilisk,Wukkar
Basilisk,Skako
Bassadro,Mrlsst
Bassadro,Teyr Vulvarch
Bassadro,Transel
Bassadro,Bestine
Bastion,Rimcee Station
Bastion,Anorelga
Bastion,Bnar
Bastion,Draria
Bastooine,Vassek
Bastooine,Corbett Cluster
Bastooine,Lanteeb
Bastooine,Koba
Bator Bai,Kalgo
Bator Bai,Doreen
Bator Bai,Usnia
Bator Bai,Q'mara
Batorine,Reecee
Batorine,Thrantin
Batorine,Vakkar
Batorine,Metellos
Baummu,Maldra
Baummu,Skeeba
Baummu,Dilonexa
Baummu,Minntooine
Bavva,Nothoiin
Bavva,Saila Na
Bavva,Zephry
Begeren,Kalsunor
Begeren,Ziost
Begeren,Ashas Ree
Begeren,Nicht Ka
Belasco,Chanosant
Belasco,Zirulast
Belasco,Trammen
Belassar,Hijo
Belassar,Rondai
Belassar,Dorin
Belassar,Dankayo
Belazura,Motexx
Belazura,Sanjin
Belazura,Bryexx
Belazura,Gandeal
Belderone,Ossus
Belderone,Columex
Belderone,Trogan
Belgaroth,Steelious
Belgaroth,Dentaal
Belgaroth,Abregado-rae
Belgaroth,Kelada
Belkadan,Helska
Belkadan,Gree
Belkadan,Revyia
Bellassa,Voktunma
Bellassa,Baraboo
Bellassa,Exodeen
Bellassa,Jaciprus
Belnar,Shulstine
Belnar,Argai Minor
Belnar,Ifmix
Belsavis,Boro-borosa
Belsavis,Hovan
Belsavis,Ossel
Beltrix III,Roundtree
Beltrix III,Mechis III
Beltrix III,Bestine
Bendeluum,Varonat
Bendeluum,Indellian
Bendeluum,Zhanox
Bengat,Aphran
Bengat,Neshtab
Bengat,Bilbringi
Bengat,Dankayo
Berchest,Poderis
Berchest,Chazwa
Berchest,Relatta
Beris,Chokan
Beris,Hoylin
Beris,Deneba
Berri,Tala
Berri,Colla IV
Berri,Sochi
Berri,Chazwa
Berrol's Donn,Quintas
Berrol's Donn,Isde Naha
Berrol's Donn,Togominda
Berrol's Donn,Anantapar
Besberra,Tosste
Besberra,Orax
Besberra,Rutan
Bescane,Jaemus
Bescane,Varvrona
Bescane,Dolis
Bescane,Draria
Besero,Vulpter
Besero,Aargau
Besero,Primus Goluud
Besero,Broest
Besnia,Boudolayz
Besnia,Herzob
Besnia,Koensayr
Bespin,Anoat
Bespin,Bendeluum
Bespin,Varonat
Bestine,Foless
Bestine,Tomo-Reth
Bestine,Beltrix III
Betha,Eol Sha
Betha,Thassia
Betha,Carosi
Betha,Tantive
Betshish,Mannova
Betshish,Kli'aar
Betshish,Mogoshyn
Betshish,Marrovia
Bettel,Isde Naha
Bettel,Mev
Bettel,Togominda
Bettel,Polmanar
Bextar,Capza
Bextar,Entralla
Bextar,Endex
Bhargebba,Ch'hodos
Bhargebba,Nfolgai
Bhargebba,Svolten
Bhargebba,Nicht Ka
Bheriz,Prishella
Bheriz,Formos
Bheriz,Drualkiin
Biewa,Kalla
Biewa,Media
Biewa,Ession
Biewa,Makem Te
Biitu,Minashee
Biitu,Garqi
Biitu,Monhudle
Biitu,Kidriff
Bilbringi,Bengat
Bilbringi,Aphran
Bilbringi,Rondai
Bilbringi,Dankayo
Bimin Three,M'haeli
Bimin Three,Majoor
Bimin Three,Ramordia
Bimmiel,Ereesus
Bimmiel,Argazda
Bimmiel,Jerne
Bimmiel,Simpla
Bimmisaari,Danuta
Bimmisaari,Xoman
Bimmisaari,Peg Shar
Bimmisaari,Charros
Birgis,Xo
Birgis,Seline
Birgis,Bimmiel
Birgis,Simpla
Bisellia,Endoraan
Bisellia,Muunilinst
Bisellia,Ord Sedra
Bisellia,Draria
Bissillirus,Coachelle
Bissillirus,Genian
Bissillirus,Ota
Bith,Eriadu
Bith,Triton
Blenjeel,Algarian
Blenjeel,Womrik
Blenjeel,Thape
Blimph,Deysun
Blimph,Randon
Blimph,Ota
Bnar,Dubrillion
Bnar,Criton's Point
Bnar,Ahakista
Bnar,Draria
Bogden,Kidriff
Bogden,Nessem
Bogden,Paqualis III
Bogo Rai,Ool
Bogo Rai,Oyokal
Bogo Rai,Kinoss
Bomis Koori,Balis-Baurgh
Bomis Koori,D'rinba
Bomis Koori,Calonica
Bomis Koori,Kriselist
Bonadan,Erysthes
Bonadan,Tothis
Bonadan,R'alla
Bonadan,Makem Te
Boonta,Saleucami
Boonta,Iotra
Boonta,Oovo
Boonta,Lant
Boordii,Serroco
Boordii,Myrkr
Boordii,Wayland
Boordii,Levian
Bootana Shagplan,Kor Anjiliac
Bootana Shagplan,Kor Jiramma
Bootana Shagplan,Langoona
Bootana Shagplan,Zisia
Boranda,Zygia
Boranda,Holess
Boranda,Manda
Borao,Vaklin
Borao,Dargulli
Borao,Heptalia
Borao,Baroli
Borgo Prime,Er'Kit
Borgo Prime,Cademimu
Borgo Prime,Polus
Borgo Prime,Skorrupon
Borkyne,Epica
Borkyne,Rainos CLuster
Borkyne,Kinyen
Borkyne,Roona
Borleias,Venjagga
Borleias,Denevar
Borleias,Thokos
Borleias,Ord Mirit
Boro-borosa,Port Evokk
Boro-borosa,Atron
Boro-borosa,Serat
Boro-borosa,Ossel
Borosk,Prefsbelt
Borosk,Ompersan
Borosk,Poln System
Borosk,Kidriff
Bortras,Eriadu
Bortras,Ord Ibanna
Bortras,Sullust
Bosph,Neelgaimon
Bosph,Ventooine
Bosph,Listehol
Bosph,Tantive
Bosthirda,Ashas Ree
Bosthirda,Korriban
Bosthirda,Dromund Kaas
Botajef,Drackmar
Botajef,Hijado
Botajef,Harloen
Bothawui,Tarsunt
Bothawui,Krant
Bothawui,Mandell
Bothawui,Spirador
Bothawui,Kothlis
Bothawui,Void Station
Botor,Khomm
Botor,Daupherm
Botor,Thracior
Botor,Bryexx
Boudolayz,Besnia
Boudolayz,Exodeen
Boudolayz,Herzob
Bovo Yagen,Tarmidia
Bovo Yagen,Altier
Bovo Yagen,Tlactehon
Boz Pity,Danuta
Boz Pity,Bimmisaari
Boz Pity,Xoman
Boz Pity,Dirha
Bpfassh,Sluis Van
Bpfassh,Praesitlyn
Bpfassh,Denab
Brentaal,Rhinnal
Brentaal,Chandrila
Brentaal,Tepasi
Brentaal,Skako
Brentaal,Esseles
Brentaal,Wakeelmui
Bresnia,Nooli
Bresnia,Torolis
Bresnia,Nexus Ortai
Bresnia,Dressel
Brevost,Krann
Brevost,Cerenia
Brevost,Momansi
Brevost,Ruten
Brevost,Nigel
Brigia,Eredenn
Brigia,Mullan
Brigia,Caluula
Brigia,Gbu
Brochiib,Fibuli
Brochiib,Hiit
Brochiib,Perin
Brochiib,Bosthirda
Brodo Asogi,Parshoone
Brodo Asogi,Tovarskl
Brodo Asogi,Valc
Brodo Asogi,Nessem
Broest,Kailor
Broest,Wukkar
Broest,Xorth
Bronsoon,Povanaria
Bronsoon,Gulvitch
Bronsoon,Xochtl
Brosl,Ulicia
Brosl,Abo Dreth
Brosl,Farana
Brosl,Makem Te
Bryexx,Enisca
Bryexx,Motexx
Bryexx,Belazura
Bryx,Wobani
Bryx,Metalorn
Bryx,Ringo Vinda
Bryx,Euceron
Bseto,Garos
Bseto,Msst
Bseto,Anteevy
Bseto,Phindar
Buchich,Krinemonen
Buchich,Hinakuu
Buchich,Pinperu
Budpock,Cybloc
Budpock,Trogan
Budpock,Nam Chorios
Budpock,Antemeridias
Budpock,Columex
Bunduki,Rattatak
Bunduki,Firrerre
Bunduki,Panatha
Bunduki,Zorbia
Burnin Konn,Tokmia
Burnin Konn,Allyuen
Burnin Konn,Isis
Burnin Konn,Ione
Burska,Rago
Burska,Ankus
Burska,Kril'Dor
Burska,Dankayo
Byblos,Arat Fraca
Byblos,Loronar
Byblos,Pencael
Byblos,Iseno
Byss,Zamael
Byss,Lialic
Byss,Kalist
Byss,Ruan
C-Foroon,A-Foroon
C-Foroon,Piroket
C-Foroon,B-Foroon
C-Foroon,Ooo-temiuk
Caamas,Korfo
Caamas,Tepasi
Caamas,Alderaan
Cademimu,Borgo Prime
Cademimu,Noonar
Cademimu,Polus
Cademimu,Corsin
Cadinth,Chandaar
Cadinth,Voss
Cadinth,Pasmin
Cadma,Lekua
Cadma,Dela
Cadma,Zebitrope
Cadma,Sriluur
Cadomai,Reltooine
Cadomai,Lur
Cadomai,Knolstee
Cadomai,Nicht Ka
Cal-Seti,Osadia
Cal-Seti,Aradia
Cal-Seti,Metellos
Cal-Seti,Galantos
Cal-Seti,Fresia
Calfa,Lemmi
Calfa,Dreena
Calfa,Thrakia
Calfa,Roqoo Depot
Calonica,Copperline
Calonica,Tar Mordren
Calonica,Bomis Koori
Caltinia,Aquella
Caltinia,Adoris
Caltinia,Rulaar
Caltinia,Ossel
Calus,Epica
Calus,Moorja
Calus,Roona
Caluula,Mullan
Caluula,Brigia
Caluula,Dellalt
Caluula,Gbu
Cambria,Dremulae
Cambria,Aton
Cambria,Vuma
Camden,Tangrene
Camden,Edusa
Camden,Vandyne
Camden,Simpla
Candoria,Zardossa Stix
Candoria,Bardotta
Candoria,Trunska
Candoria,Bestine
Cantonica,Ammuud
Cantonica,Orron
Cantonica,Rekkiad
Cantonica,Makem Te
Cantras Gola,Valc
Cantras Gola,Ryloon
Cantras Gola,Brodo Asogi
Cantras Gola,Nessem
Cantros,Saijo
Cantros,Faldos
Cantros,Anoth
Cantros,Rutan
Capella,Kalishik
Capella,Little Capella
Capella,Arda
Capza,Entralla
Capza,Endoraan
Capza,Bextar
Capza,Kidriff
Carcel,Donovia
Carcel,Sermeria
Carcel,Pirin
Carest,Levian
Carest,Aquaris
Carest,Obroa-skai
Cargamalis,Javin
Cargamalis,Aztubek
Cargamalis,Quamar
Cargamalis,Mugaar
Carida,Belnar
Carida,Argai Minor
Carida,Dakshee
Carida,Castell
Carlac,Poln System
Carlac,Comra
Carlac,Monhudle
Carlac,Nessem
Carlania,Arabanth
Carlania,Ediorung
Carlania,Tumani
Carlania,Orelon
Carnovia,Nar Kaaga
Carnovia,Affavan
Carnovia,Circumtore
Carosi,Thassia
Carosi,Kirtania
Carosi,Praadost
Carosi,Tantive
Carratos,Aphran
Carratos,Meastrinnar
Carratos,Challon
Carratos,Voltare
Carsanza,Resti Kel
Carsanza,Valorsi
Carsanza,Zyluria
Carsanza,Q'mara
Cartao,Contruum
Cartao,Katarr
Cartao,Von-Alai
Casfield,Romin
Casfield,Trancret
Casfield,Ord Tiddell
Casfield,Orleon
Cassander,Kalki Nebula
Cassander,New Bakstre
Cassander,Forsen
Cassander,Draria
Castell,Ifmix
Castell,Vurdon Ka
Castell,Shulstine
Castell,Raithal
Cathar,Serroco
Cathar,Ploo
Cathar,Vulta
Cathar,Skorrupon
Cato Neimoidia,Chorax
Cato Neimoidia,Hensara
Cato Neimoidia,Vladet
Celanon,Thesme
Celanon,Junction
Celanon,Hijado
Celdaru,Roxuli
Celdaru,Glom Tho
Celdaru,Mendicat
Celdaru,Metellos
Celegia,Zeltros
Celegia,Gorse
Celegia,Virujansi
Celwis,Yashuvhu
Celwis,Sarvchi
Celwis,Cormit
Celwis,Metellos
Centares,Cybloc
Centares,The Wheel
Centares,Sy Myrth
Centares,Antemeridias
Cerea,Marzoon
Cerea,Cheelit
Cerea,Abbaji
Cerea,Chalcedon
Cerenia,Kerkoidia
Cerenia,Brevost
Cerenia,Roldalna
Cezith,Endoraan
Cezith,Ord Sedra
Cezith,Bisellia
Cezith,Draria
Ch'hodos,Bhargebba
Ch'hodos,Ziost
Ch'hodos,Begeren
Ch'hodos,Nicht Ka
Chalacta,Tal Nami
Chalacta,Ilos Minor
Chalacta,Ilos
Chalacta,Yitabo
Chalcedon,Takodana
Chalcedon,Petabys Station
Chalcedon,Cerea
Chalcedon,Tashtor Seneca
Challon,Shawken
Challon,Kidiet Olgo
Challon,Nara
Chamble,Rorgam
Chamble,Messert
Chamble,Rakhuuun
Chamm,Danteel
Chamm,Shumogi
Chamm,Kobaria
Chamm,Condular
Champala,Barlok
Champala,Drearia
Champala,Nierport
Chandaar,Lianna
Chandaar,Cadinth
Chandaar,Arcan
Chandrila,Esseles
Chandrila,Brentaal
Chandrila,Corulag
Chanosant,Tarhassan
Chanosant,Mimban
Chanosant,Trammen
Chanosant,Reytha
Chardaan,Ord Vaxal
Chardaan,Itani
Chardaan,Ronyards
Chardaan,Tynna
Chardaan,Atzerri
Chardaan,Babbadod
Charra,Cularin
Charra,Ryvellia
Charra,Hilo
Charra,Aikhibba
Charra,Aridus
Charros,Alee
Charros,Bimmisaari
Charros,Balamak
Charubah,Modus
Charubah,Vergill
Charubah,Maires
Charubah,Andalia
Chasin,Arat Fraca
Chasin,Loronar
Chasin,Corellia
Chasin,Condular
Chazwa,Poderis
Chazwa,Berchest
Chazwa,Joiol
Chazwa,Relatta
Cheelit,Cerea
Cheelit,Corbett Cluster
Cheelit,Koba
Cheku,Sika
Cheku,Selsor
Cheku,Coonee
Cheku,Thaere
Chenowei,Elamposnia
Chenowei,Atorra
Chenowei,B'trilla
Cheruba,Algnadesh
Cheruba,Relephon
Cheruba,Wodan
Cheruba,Orelon
Chibias,Kriselist
Chibias,D'rinba
Chibias,Kaal
Chiron,Garel
Chiron,Poseidenna
Chiron,Taral V
Chiron,Minntooine
Chokan,Thoksia
Chokan,Deneba
Chokan,Shador
Cholganna,Toola
Cholganna,Quermia
Cholganna,Florn
Chorax,Cato Neimoidia
Chorax,Vladet
Chorax,Damoria
Chosper,Nantuker
Chosper,Telkur Station
Chosper,Stalsinek
Chosper,Andalia
Christophsis,Ragna
Christophsis,Rodia
Christophsis,Scarif
Christophsis,Radnor
Christophsis,Arkanis
Christophsis,Ryloth
Chroma Zed,Nixor
Chroma Zed,Thoksia
Chroma Zed,Shador
Chryya,Nuvar
Chryya,Phaegon_III
